Model,Subjects,Low / high,Positive prevalence / PR-AUC baseline,ROC-AUC,PR-AUC,Balanced Accuracy,Sensitivity,Specificity,Missing internal features,Imputation method
Proposed Full Model (mean adapter),45,21 / 24,0.533,0.615 +/- 0.027,0.659 +/- 0.037,0.571 +/- 0.049,0.573 +/- 0.187,0.570 +/- 0.233,global_beta_over_delta_theta;global_rel_delta;global_rel_gamma,pooled training mean; normalized value equals 0 for missing features
Extra Trees,45,21 / 24,0.533,0.618 +/- 0.029,0.668 +/- 0.029,0.535 +/- 0.048,0.905 +/- 0.141,0.166 +/- 0.221,global_beta_over_delta_theta;global_rel_delta;global_rel_gamma,pooled training mean; normalized value equals 0 for missing features
